DOCID,TOPICID,DOC TITLE,TOPIC NAME,,,,ID,TOPIC
1,3,Education Fund Outlook - Post Closeout for FY2018 and July Revenue Update for FY2019,Legistlative,,,,,
263,5,Just Saying No: Vermont Education Secretary Defies Lawmakers,Research,,,,,
70,1,"Act 173 Advisory Group Disability Law Project Proposed Revisions #2 to Rule 1300 December 11, 2019",Funding,,,,,
40,10,"Act 173 Advisory Group Agenda - January 6, 2020",Census Based,,,,,
209,5,City of Winooski:  Supporting Adjusted Student Weights in Vermont’s Education Funding,Research,,,,,
310,2,"State Board of Education Memo. Public Comment: Rabbi Small July 12, 2022",Census Based,,,,,
267,6,Bill proposes mandatory civics education in Vermont schools,Advisory,,,,,
78,2,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",Census Based,,,,,
110,8,"Act 173 Advisory Group February 1, 2021 Act 173 Weighting Study Presentation by Tammy Kolbe",High School,,,,,
183,6,"Census-Based Funding Advisory Group - April 1, 2019 (Act 173 Advisory Group)",Advisory,,,,,
351,3,Vermont Secretary of State: Preserved documents,Legistlative,,,,,
299,10,"State Board of Education Memo State Board of Education Statement on Cost-containment in Education February 22, 2018",Census Based,,,,,
42,12,"Act 173 Advisory Group Agenda - July 24, 2019",Funding,,,,,
159,5," Act 173 Section B Forms FY 2023 September 3,2020",Research,,,,,
299,5,"State Board of Education Memo State Board of Education Statement on Cost-containment in Education February 22, 2018",Research,,,,,
116,13,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Regulation,,,,,
236,6,"Instructions for FY-22 Special Education Expenditure Report September 13,2021",Advisory,,,,,
266,8,Special Education Funding Formula Projections,High School,,,,,
75,1,Act 173 Advisory Group Draft Meeting Minutes-12-6-21,Funding,,,,,
8,11,A Study of the Use of Paraprofessionals to Deliver Special Education Services in Vermont Schools,Public Input,,,,,
141,14,"Act 173 Advisory Group Success by Six Presentation November 2, 2020 Meeting",Funding,,,,,
329,10,"State Board of Education Vermont's Strategic Vision for Education February 21, 2018",Census Based,,,,,
198,10,"Census-Based Funding Advisory Group Draft Minutes from September 14, 2018 (Act 173 Advisory Group)",Census Based,,,,,
54,12,"Act 173 Advisory Group Approved Meeting Minutes - February 3rd, 2020",Funding,,,,,
291,10,"State Board of Education List of Topics Provided to Superintendents to Prepare for Section 10 Conversations May 31, 2018",Census Based,,,,,
179,9,"CBFAG - Full Group Minutes October 12,2018 (Act 173 Advisory Group)",Census Based,,,,,
242,4,"Mainstream Block Grant and Match Spent on Support and Remedial Services Sept 6,2018",K-12,,,,,
216,10,Educating Mary Barrosse.  Author: Amity Shlaes  Date: April-May 1999  From: Policy Review,Census Based,,,,,
286,7,"State Board of Education Decision Points: Sec. 9 Proposals and Secretary's Proposed Statewide Plan September 19, 2018",Elementary,,,,,
157,8,"Census-Based Funding Advisory Group Agenda from February 4, 2019 (Act 173 Advisory Group)",High School,,,,,
46,7,"Act 173 Advisory Group Agenda - November 2, 2020",Elementary,,,,,
107,11,"Act 173 Advisory Group Draft Special Minutes from December 11, 2019",Public Input,,,,,
320,1,"State Board of Education News State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District  August 11, 2022",Funding,,,,,
175,5,"Baptist News Network:  Federal appeals court rules Vermont cannot exclude religious education from private school tuition program  (BNG STAFF  |  JUNE 10, 2021)",Research,,,,,
5,2,Education Finance Adequacy,Census Based,,,,,
150,12,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",Funding,,,,,
212,13,Considerations for Establishing Categorical Aid Programs to Adjust for Cost Differentials Among Districts & Schools,Regulation,,,,,
81,4,"Act 173 Advisory Group Draft Meeting Minutes: June 6, 2022",K-12,,,,,
82,11,"Act 173 Advisory Group Draft Meeting Minutes: May 2, 2022",Public Input,,,,,
88,6,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",Advisory,,,,,
107,4,"Act 173 Advisory Group Draft Special Minutes from December 11, 2019",K-12,,,,,
113,6,"Act 173 Advisory Group Meeting Agenda - March 7, 2022",Advisory,,,,,
299,3,"State Board of Education Memo State Board of Education Statement on Cost-containment in Education February 22, 2018",Legistlative,,,,,
116,4,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",K-12,,,,,
337,12,The Putney School,Funding,,,,,
